id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
n18mJPI6mQfBJEp8UrITyw,blue-pan-pizza-denver-4,Blue Pan Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/EAkVmoSTsGkaq8WvDFpPDg/o.jpg,False,https://www.yelp.com/biz/blue-pan-pizza-denver-4?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,697,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 39.735349, 'longitude': -104.945823}",['delivery'],$$,"{'address1': '3509 E 12th Ave', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['3509 E 12th Ave', 'Denver, CO 80206']}",+17205190944,(720) 519-0944,8271.27425304269
VFACYV_lGv9y4FV-_1m4Ig,brooklyns-finest-pizza-lowell-denver,Brooklyn's Finest Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/6cPY-ZzCjPdyI_F_zOtsHA/o.jpg,False,https://www.yelp.com/biz/brooklyns-finest-pizza-lowell-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,506,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 39.7875680710371, 'longitude': -105.035032358198}","['delivery', 'pickup']",$$,"{'address1': '5007 Lowell Blvd', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['5007 Lowell Blvd', 'Denver, CO 80221']}",+13034770066,(303) 477-0066,15510.516545043558
Yk84dALUw0TPPf9sMuu2hg,redeemer-pizza-denver,Redeemer Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/tmZdbkbfJ_qDmYzf6j8_0A/o.jpg,False,https://www.yelp.com/biz/redeemer-pizza-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,128,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 39.75975, 'longitude': -104.98405}","['delivery', 'pickup']",,"{'address1': '2705 Larimer St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2705 Larimer St', 'Denver, CO 80205']}",+17207801379,(720) 780-1379,10934.932312557314
mmz8zURQXK4ijOYkK1qBTg,pizzeria-lui-lakewood,Pizzeria Lui,https://s3-media1.fl.yelpcdn.com/bphoto/eW3v8mPdSF6B1WppGKC9QA/o.jpg,False,https://www.yelp.com/biz/pizzeria-lui-lakewood?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,340,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 39.6965331421814, 'longitude': -105.056310072541}",['delivery'],$$,"{'address1': '5380 W Mississippi Ave', 'address2': '', 'address3': None, 'city': 'Lakewood', 'zip_code': '80226', 'country': 'US', 'state': 'CO', 'display_address': ['5380 W Mississippi Ave', 'Lakewood, CO 80226']}",+13039223202,(303) 922-3202,18657.015123978646
kI5oOBAGS-Vo4chwmgOVmQ,cart-driver-denver,Cart-Driver,https://s3-media1.fl.yelpcdn.com/bphoto/YzE2PjIea5YTvk0jo3zLYw/o.jpg,False,https://www.yelp.com/biz/cart-driver-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,641,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 39.7575443618608, 'longitude': -104.98618460866}","['delivery', 'pickup']",$$,"{'address1': '2500 Larimer St', 'address2': 'Ste 100', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2500 Larimer St', 'Ste 100', 'Denver, CO 80205']}",+13032923553,(303) 292-3553,11125.161043825996
G6ckyL7AK1qNyRop7xHa4g,marcos-coal-fired-ballpark-denver,Marco's Coal Fired-Ballpark,https://s3-media1.fl.yelpcdn.com/bphoto/HXvPkCvE-UBBTjpNrYh6eg/o.jpg,False,https://www.yelp.com/biz/marcos-coal-fired-ballpark-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,1364,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,"{'latitude': 39.75452, 'longitude': -104.99106}","['delivery', 'pickup']",$$,"{'address1': '2129 Larimer St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2129 Larimer St', 'Denver, CO 80205']}",+13032967000,(303) 296-7000,11559.334810026307
ptB6HgdWa_elXZFoSc4LIA,blue-pan-pizza-denver,Blue Pan Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/9x1z7qQqTEGFt2cleD1ENA/o.jpg,False,https://www.yelp.com/biz/blue-pan-pizza-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,803,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 39.761971, 'longitude': -105.038949}",['delivery'],$$,"{'address1': '3934 W 32nd Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['3934 W 32nd Ave', 'Denver, CO 80212']}",+17204567666,(720) 456-7666,15617.457162749653
lBYdgurnPuFOgtau6ftnAQ,beau-jos-idaho-springs-idaho-springs,Beau Jo's - Idaho Springs,https://s3-media4.fl.yelpcdn.com/bphoto/j99XRed6vMpojJPwQoyYGw/o.jpg,False,https://www.yelp.com/biz/beau-jos-idaho-springs-idaho-springs?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,1294,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 39.741723, 'longitude': -105.516527}",['pickup'],$$,"{'address1': '1517 Miner St', 'address2': '', 'address3': '', 'city': 'Idaho Springs', 'zip_code': '80452', 'country': 'US', 'state': 'CO', 'display_address': ['1517 Miner St', 'Idaho Springs, CO 80452']}",+13035674376,(303) 567-4376,56498.41303462309
7Wb-Y0dxakfRkLTAIG4Bmw,hops-and-pie-denver,Hops & Pie,https://s3-media1.fl.yelpcdn.com/bphoto/6E48X2EGsvU0JIkR0Mgsag/o.jpg,False,https://www.yelp.com/biz/hops-and-pie-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,1078,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 39.77136, 'longitude': -105.04369}",['delivery'],$$,"{'address1': '3920 Tennyson St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['3920 Tennyson St', 'Denver, CO 80212']}",+13034777000,(303) 477-7000,16047.071973828834
k_ycnrOxtJtapJZLP5bf9A,joy-hill-denver,Joy Hill,https://s3-media3.fl.yelpcdn.com/bphoto/UiruLzF8KouSny2Bp8WOvQ/o.jpg,False,https://www.yelp.com/biz/joy-hill-denver?adjust_creative=bMroMKsI89AfuWgqqPUMFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bMroMKsI89AfuWgqqPUMFA,162,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 39.694204, 'longitude': -104.987844}","['delivery', 'pickup']",$$,"{'address1': '1229 S Broadway', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80210', 'country': 'US', 'state': 'CO', 'display_address': ['1229 S Broadway', 'Denver, CO 80210']}",+13039548784,(303) 954-8784,13636.998966557127
